Total Sales,Product Name,Product ID,Period
7999.98,Cubify CubeX 3D Printer Triple Head Print,TEC-MA-10004125,2018-11-01 - 2018-11-30
167.44,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",OFF-AP-10002457,2018-11-01 - 2018-11-30
2560.624,Hon 5100 Series Wood Tables,FUR-TA-10004575,2018-11-01 - 2018-11-30
95.976,Logitech M510 Wireless Mouse,TEC-AC-10000303,2018-11-01 - 2018-11-30
1359.96,Motorola Moto X,TEC-PH-10002483,2018-11-01 - 2018-11-30
52.752,Rogers Deluxe File Chest,OFF-ST-10002485,2018-11-01 - 2018-11-30
70.72,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,TEC-AC-10002323,2018-11-01 - 2018-11-30
1.408,Self-Adhesive Ring Binder Labels,OFF-BI-10003094,2018-11-01 - 2018-11-30
3.564,Storex Dura Pro Binders,OFF-BI-10004364,2018-11-01 - 2018-11-30
4.144,Wilson Jones Impact Binders,OFF-BI-10004040,2018-11-01 - 2018-11-30
143.928,iOttie XL Car Mount,TEC-PH-10000127,2018-11-01 - 2018-11-30
4.41,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",OFF-PA-10002615,2018-11-01 - 2018-11-30
99.98,Anker Astro 15000mAh USB Portable Charger,TEC-PH-10001448,2018-11-01 - 2018-11-30
18.308,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274,2018-11-01 - 2018-11-30
11.424,Avery Premier Heavy-Duty Binder with Round Locking Rings,OFF-BI-10002706,2018-11-01 - 2018-11-30
16.03,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,2018-11-01 - 2018-11-30
166.5,Balt Split Level Computer Training Table,FUR-TA-10003469,2018-11-01 - 2018-11-30
101.4,"Career Cubicle Clock, 8 1/4"", Black",FUR-FU-10004245,2018-11-01 - 2018-11-30
167.94,Easy-staple paper,OFF-PA-10000565,2018-11-01 - 2018-11-30
390.75,Enermax Aurora Lite Keyboard,TEC-AC-10001432,2018-11-01 - 2018-11-30
164.688,GBC Prestige Therm-A-Bind Covers,OFF-BI-10002735,2018-11-01 - 2018-11-30
159.99,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,TEC-AC-10003911,2018-11-01 - 2018-11-30
492.768,Nortel Meridian M3904 Professional Digital phone,TEC-PH-10003012,2018-11-01 - 2018-11-30
243.992,"Trav-L-File Heavy-Duty Shuttle II, Black",OFF-ST-10002974,2018-11-01 - 2018-11-30
12.96,Xerox 1996,OFF-PA-10003172,2018-11-01 - 2018-11-30
12.96,Xerox 202,OFF-PA-10001870,2018-11-01 - 2018-11-30
27.503999999999998,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",OFF-EN-10001219,2018-11-01 - 2018-11-30
499.584,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,2018-11-01 - 2018-11-30
26.4,Astroparche Fine Business Paper,OFF-PA-10000143,2018-11-01 - 2018-11-30
41.4,Avery 503,OFF-LA-10000414,2018-11-01 - 2018-11-30
13.272,Avery Durable Poly Binders,OFF-BI-10002827,2018-11-01 - 2018-11-30
259.136,Carina Double Wide Media Storage Towers in Natural & Black,OFF-ST-10000736,2018-11-01 - 2018-11-30
43.650000000000006,Dax Clear Box Frame,FUR-FU-10001424,2018-11-01 - 2018-11-30
46.26,Decoflex Hanging Personal Folder File,OFF-ST-10001414,2018-11-01 - 2018-11-30
45.36,Easy-staple paper,OFF-PA-10002764,2018-11-01 - 2018-11-30
26.38,Easy-staple paper,OFF-PA-10003127,2018-11-01 - 2018-11-30
28.272,"Executive Impressions 12"" Wall Clock",FUR-FU-10004671,2018-11-01 - 2018-11-30
5.682,Flexible Leather- Look Classic Collection Ring Binder,OFF-BI-10004738,2018-11-01 - 2018-11-30
318.43,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774,2018-11-01 - 2018-11-30
16.95,Kingston Digital DataTraveler 32GB USB 2.0,TEC-AC-10003441,2018-11-01 - 2018-11-30
30.56,"Linden 10"" Round Wall Clock, Black",FUR-FU-10003878,2018-11-01 - 2018-11-30
13.9,Newell 339,OFF-AR-10001216,2018-11-01 - 2018-11-30
5.68,SANFORD Liquid Accent Tank-Style Highlighters,OFF-AR-10001022,2018-11-01 - 2018-11-30
108.96,SanDisk Cruzer 64 GB USB Flash Drive,TEC-AC-10001465,2018-11-01 - 2018-11-30
18.16,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,2018-11-01 - 2018-11-30
318.96,Xerox 1906,OFF-PA-10003302,2018-11-01 - 2018-11-30
5.78,Xerox 1987,OFF-PA-10003845,2018-11-01 - 2018-11-30
50.544,Xerox 220,OFF-PA-10001800,2018-11-01 - 2018-11-30
1.248,Zipper Ring Binder Pockets,OFF-BI-10000145,2018-11-01 - 2018-11-30
59.97,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,TEC-AC-10003289,2018-11-01 - 2018-11-30
25.878,Avery Self-Adhesive Photo Pockets for Polaroid Photos,OFF-BI-10002982,2018-11-01 - 2018-11-30
350.352,Bevis Rectangular Conference Tables,FUR-TA-10000849,2018-11-01 - 2018-11-30
100.94,Holmes Odor Grabber,OFF-AP-10000696,2018-11-01 - 2018-11-30
359.97,Jabra Supreme Plus Driver Edition Headset,TEC-PH-10003811,2018-11-01 - 2018-11-30
7.88,Maxell CD-R Discs,TEC-AC-10002370,2018-11-01 - 2018-11-30
439.8,Plantronics Audio 995 Wireless Stereo Headset,TEC-AC-10004975,2018-11-01 - 2018-11-30
761.544,"Plantronics CS 50-USB - headset - Convertible, Monaural",TEC-PH-10002468,2018-11-01 - 2018-11-30
38.16,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,2018-11-01 - 2018-11-30
109.9,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,OFF-AR-10002818,2018-11-01 - 2018-11-30
165.48000000000002,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,2018-11-01 - 2018-11-30
2177.52,Adjustable Depth Letter/Legal Cart,OFF-ST-10003208,2018-11-01 - 2018-11-30
47.12,Eldon Wave Desk Accessories,FUR-FU-10000023,2018-11-01 - 2018-11-30
215.976,"Global Leather Task Chair, Black",FUR-CH-10003061,2018-11-01 - 2018-11-30
191.976,Logitech G602 Wireless Gaming Mouse,TEC-AC-10002567,2018-11-01 - 2018-11-30
826.62,Maxell iVDR EX 500GB Cartridge,TEC-AC-10004666,2018-11-01 - 2018-11-30
499.168,Motorola L703CM,TEC-PH-10004094,2018-11-01 - 2018-11-30
99.99,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,TEC-AC-10004171,2018-11-01 - 2018-11-30
63.56,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",OFF-ST-10002289,2018-11-01 - 2018-11-30
9.64,Wilson Jones Turn Tabs Binder Tool for Ring Binders,OFF-BI-10004728,2018-11-01 - 2018-11-30
7.8,12 Colored Short Pencils,OFF-AR-10002221,2018-11-01 - 2018-11-30
201.584,Adtran 1202752G1,TEC-PH-10002563,2018-11-01 - 2018-11-30
38.388,Cardinal EasyOpen D-Ring Binders,OFF-BI-10001036,2018-11-01 - 2018-11-30
239.952,Case Logic 2.4GHz Wireless Keyboard,TEC-AC-10001314,2018-11-01 - 2018-11-30
95.994,DYMO CardScan Personal V9 Business Card Scanner,TEC-MA-10003183,2018-11-01 - 2018-11-30
400.8,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",OFF-AP-10004540,2018-11-01 - 2018-11-30
931.176,Fellowes PB300 Plastic Comb Binding Machine,OFF-BI-10003925,2018-11-01 - 2018-11-30
11.52,GBC VeloBinder Strips,OFF-BI-10004099,2018-11-01 - 2018-11-30
241.424,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714,2018-11-01 - 2018-11-30
1348.704,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312,2018-11-01 - 2018-11-30
430.88,Samsung Galaxy Note 2,TEC-PH-10002200,2018-11-01 - 2018-11-30
341.96,Tenex Antistatic Computer Chair Mats,FUR-FU-10001468,2018-11-01 - 2018-11-30
25.5,Acme Titanium Bonded Scissors,OFF-SU-10004661,2018-11-01 - 2018-11-30
10.89,Belkin 6 Outlet Metallic Surge Strip,OFF-AP-10003971,2018-11-01 - 2018-11-30
35.48,Belkin OmniView SE Rackmount Kit,OFF-ST-10003324,2018-11-01 - 2018-11-30
181.86,Boston 1799 Powerhouse Electric Pencil Sharpener,OFF-AR-10004260,2018-11-01 - 2018-11-30
18.336,Deluxe Heavy-Duty Vinyl Round Ring Binder,OFF-BI-10001510,2018-11-01 - 2018-11-30
88.92,"Executive Impressions 14"" Contract Wall Clock",FUR-FU-10004090,2018-11-01 - 2018-11-30
1158.12,Hoover Upright Vacuum With Dirt Cup,OFF-AP-10002651,2018-11-01 - 2018-11-30
121.6,Ibico Plastic Spiral Binding Combs,OFF-BI-10000977,2018-11-01 - 2018-11-30
35.184,OtterBox Commuter Series Case - iPhone 5 & 5s,TEC-PH-10004531,2018-11-01 - 2018-11-30
10.44,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,OFF-LA-10001045,2018-11-01 - 2018-11-30
45.92,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",OFF-FA-10004854,2018-11-01 - 2018-11-30
19.44,Xerox 201,OFF-PA-10000520,2018-11-01 - 2018-11-30
10.368,Xerox 222,OFF-PA-10004451,2018-11-01 - 2018-11-30
14.016,Acco 3-Hole Punch,OFF-BI-10003460,2018-11-01 - 2018-11-30
27.93,Acme Forged Steel Scissors with Black Enamel Handles,OFF-SU-10000381,2018-11-01 - 2018-11-30
9.96,Avery 483,OFF-LA-10004853,2018-11-01 - 2018-11-30
7.92,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,TEC-PH-10000347,2018-11-01 - 2018-11-30
9.21,"Dixon Ticonderoga Maple Cedar Pencil, #2",OFF-AR-10000315,2018-11-01 - 2018-11-30
22.848,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756,2018-11-01 - 2018-11-30
77.952,Fellowes Neat Ideas Storage Cubes,OFF-ST-10002583,2018-11-01 - 2018-11-30
242.012,Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875,2018-11-01 - 2018-11-30
370.782,Jabra SPEAK 410 Multidevice Speakerphone,TEC-PH-10002824,2018-11-01 - 2018-11-30
44.784,Maxell LTO Ultrium - 800 GB,TEC-AC-10004568,2018-11-01 - 2018-11-30
41.6,Memorex Micro Travel Drive 8 GB,TEC-AC-10001266,2018-11-01 - 2018-11-30
67.992,Panasonic KX TS3282W Corded phone,TEC-PH-10004908,2018-11-01 - 2018-11-30
221.024,"SAFCO Commercial Wire Shelving, Black",OFF-ST-10002574,2018-11-01 - 2018-11-30
1931.9540000000002,Samsung Galaxy Mega 6.3,TEC-PH-10001459,2018-11-01 - 2018-11-30
62.352,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,TEC-AC-10004227,2018-11-01 - 2018-11-30
94.91999999999999,Strathmore Photo Mount Cards,OFF-PA-10003673,2018-11-01 - 2018-11-30
30.56,Surelock Post Binders,OFF-BI-10000666,2018-11-01 - 2018-11-30
113.568,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",FUR-FU-10000305,2018-11-01 - 2018-11-30
1260.112,Tennsco Double-Tier Lockers,OFF-ST-10003716,2018-11-01 - 2018-11-30
18.544,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",TEC-AC-10003614,2018-11-01 - 2018-11-30
16.056,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",OFF-PA-10002749,2018-11-01 - 2018-11-30
11.56,Xerox 1899,OFF-PA-10001846,2018-11-01 - 2018-11-30
223.056,Xerox 197,OFF-PA-10003823,2018-11-01 - 2018-11-30
23.12,Xerox 1978,OFF-PA-10002160,2018-11-01 - 2018-11-30
35.904,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),OFF-PA-10002479,2018-11-01 - 2018-11-30
8.904,"""While you Were Out"" Message Book, One Form per Page",OFF-PA-10003424,2018-11-01 - 2018-11-30
11.22,Accohide Poly Flexible Ring Binders,OFF-BI-10003196,2018-11-01 - 2018-11-30
239.92,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,TEC-AC-10000927,2018-11-01 - 2018-11-30
205.9992,"Bush Westfield Collection Bookcases, Fully Assembled",FUR-BO-10003441,2018-11-01 - 2018-11-30
7.224,DIXON Oriole Pencils,OFF-AR-10002335,2018-11-01 - 2018-11-30
154.95,"Deflect-o EconoMat Nonstudded, No Bevel Mat",FUR-FU-10004845,2018-11-01 - 2018-11-30
61.792,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,OFF-ST-10000943,2018-11-01 - 2018-11-30
652.995,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,TEC-MA-10002210,2018-11-01 - 2018-11-30
563.024,GBC DocuBind P50 Personal Binding Machine,OFF-BI-10001718,2018-11-01 - 2018-11-30
2404.704,Global Troy Executive Leather Low-Back Tilter,FUR-CH-10001215,2018-11-01 - 2018-11-30
9.324,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,OFF-AP-10004868,2018-11-01 - 2018-11-30
82.95,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,TEC-AC-10000682,2018-11-01 - 2018-11-30
163.96,KeyTronic 6101 Series - Keyboard - Black,TEC-AC-10004114,2018-11-01 - 2018-11-30
43.6,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,2018-11-01 - 2018-11-30
629.95,Nokia Lumia 925,TEC-PH-10004389,2018-11-01 - 2018-11-30
11.21,"Personal Folder Holder, Ebony",OFF-ST-10004634,2018-11-01 - 2018-11-30
230.376,Safco Industrial Wire Shelving,OFF-ST-10003656,2018-11-01 - 2018-11-30
22.0,Samsung Replacement EH64AVFWE Premium Headset,TEC-PH-10003442,2018-11-01 - 2018-11-30
344.91,Space Solutions HD Industrial Steel Shelving.,OFF-ST-10000991,2018-11-01 - 2018-11-30
8.64,3M Organizer Strips,OFF-BI-10003669,2018-11-01 - 2018-11-30
45.04,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",OFF-AR-10003582,2018-11-01 - 2018-11-30
321.568,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965,2018-11-01 - 2018-11-30
96.36,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",OFF-ST-10003996,2018-11-01 - 2018-11-30
23.712,Prestige Round Ring Binders,OFF-BI-10002949,2018-11-01 - 2018-11-30
119.94,PureGear Roll-On Screen Protector,TEC-PH-10000011,2018-11-01 - 2018-11-30
15.28,Security-Tint Envelopes,OFF-EN-10004459,2018-11-01 - 2018-11-30
167.952,V7 USB Numeric Keypad,TEC-AC-10004855,2018-11-01 - 2018-11-30
21.99,Wilson Jones Legal Size Ring Binders,OFF-BI-10003684,2018-11-01 - 2018-11-30
220.064,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",FUR-FU-10003553,2018-11-01 - 2018-11-30
339.136,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",FUR-FU-10001488,2018-11-01 - 2018-11-30
1919.976,Bady BDG101FRU Card Printer,TEC-MA-10000488,2018-11-01 - 2018-11-30
17.31,DAX Cubicle Frames - 8x10,FUR-FU-10001196,2018-11-01 - 2018-11-30
119.94,Eldon Radial Chair Mat for Low to Medium Pile Carpets,FUR-FU-10003268,2018-11-01 - 2018-11-30
48.86,Eldon Shelf Savers Cubes and Bins,OFF-ST-10002486,2018-11-01 - 2018-11-30
66.58,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,OFF-ST-10003123,2018-11-01 - 2018-11-30
899.982,Hewlett Packard 610 Color Digital Copier / Printer,TEC-CO-10002095,2018-11-01 - 2018-11-30
52.44,Hewlett-Packard 300S Scientific Calculator,TEC-MA-10003173,2018-11-01 - 2018-11-30
139.96,Logitech Media Keyboard K200,TEC-AC-10002335,2018-11-01 - 2018-11-30
23.36,Newell 328,OFF-AR-10000255,2018-11-01 - 2018-11-30
86.352,Panasonic KP-380BK Classic Electric Pencil Sharpener,OFF-AR-10004022,2018-11-01 - 2018-11-30
107.88,Plantronics Encore H101 Dual Earpieces Headset,TEC-PH-10003171,2018-11-01 - 2018-11-30
139.92,"Tenex ""The Solids"" Textured Chair Mats",FUR-FU-10003394,2018-11-01 - 2018-11-30
811.28,Tennsco Regal Shelving Units,OFF-ST-10001963,2018-11-01 - 2018-11-30
146.82,Tops Green Bar Computer Printout Paper,OFF-PA-10004092,2018-11-01 - 2018-11-30
73.68,Xerox 1933,OFF-PA-10001363,2018-11-01 - 2018-11-30
119.94,iOttie HLCRIO102 Car Mount,TEC-PH-10002583,2018-11-01 - 2018-11-30
43.8,"Angle-D Binders with Locking Rings, Label Holders",OFF-BI-10000050,2018-11-01 - 2018-11-30
327.7328,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",FUR-BO-10002202,2018-11-01 - 2018-11-30
4.158,Avery Reinforcements for Hole-Punch Pages,OFF-BI-10002813,2018-11-01 - 2018-11-30
35.04,Bionaire 99.97% HEPA Air Cleaner,OFF-AP-10004036,2018-11-01 - 2018-11-30
10499.97,Canon imageCLASS 2200 Advanced Copier,TEC-CO-10004722,2018-11-01 - 2018-11-30
13.904,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",OFF-BI-10002103,2018-11-01 - 2018-11-30
1247.64,Deluxe Rollaway Locking File with Drawer,OFF-ST-10000142,2018-11-01 - 2018-11-30
239.96,Logitech Illuminated - Keyboard,TEC-AC-10003610,2018-11-01 - 2018-11-30
431.16,Plantronics S12 Corded Telephone Headset System,TEC-AC-10003174,2018-11-01 - 2018-11-30
105.276,Stanley Bostitch Contemporary Electric Pencil Sharpeners,OFF-AR-10001958,2018-11-01 - 2018-11-30
19.608,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",OFF-PA-10003205,2018-11-01 - 2018-11-30
38.88,Xerox 1905,OFF-PA-10004735,2018-11-01 - 2018-11-30
268.24,Xerox 1938,OFF-PA-10002558,2018-11-01 - 2018-11-30
389.056,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",OFF-AP-10002684,2018-11-01 - 2018-11-30
7.38,Avery 487,OFF-LA-10003720,2018-11-01 - 2018-11-30
66.624,BIC Liqua Brite Liner,OFF-AR-10001860,2018-11-01 - 2018-11-30
74.95,"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia",TEC-PH-10000923,2018-11-01 - 2018-11-30
5.327999999999999,Binder Clips by OIC,OFF-FA-10000611,2018-11-01 - 2018-11-30
19.76,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",FUR-FU-10002597,2018-11-01 - 2018-11-30
37.76,"Companion Letter/Legal File, Black",OFF-ST-10000777,2018-11-01 - 2018-11-30
92.52,"Decoflex Hanging Personal Folder File, Blue",OFF-ST-10001321,2018-11-01 - 2018-11-30
226.24,Eldon Portable Mobile Manager,OFF-ST-10003442,2018-11-01 - 2018-11-30
95.94,Fellowes Bankers Box Stor/Drawer Steel Plus,OFF-ST-10000563,2018-11-01 - 2018-11-30
400.356,Global Highback Leather Tilter in Burgundy,FUR-CH-10000422,2018-11-01 - 2018-11-30
20.232,Ibico Plastic and Wire Spiral Binding Combs,OFF-BI-10001636,2018-11-01 - 2018-11-30
132.52,Logitech P710e Mobile Speakerphone,TEC-AC-10003832,2018-11-01 - 2018-11-30
55.584,"Peel & Seel Recycled Catalog Envelopes, Brown",OFF-EN-10002592,2018-11-01 - 2018-11-30
2.944,Staple remover,OFF-SU-10001225,2018-11-01 - 2018-11-30
81.36,Tennsco Commercial Shelving,OFF-ST-10002301,2018-11-01 - 2018-11-30
8.448,"Wilson Jones 1"" Hanging DublLock Ring Binders",OFF-BI-10001116,2018-11-01 - 2018-11-30
44.384,Xerox 194,OFF-PA-10001977,2018-11-01 - 2018-11-30
41.472,Xerox 211,OFF-PA-10003309,2018-11-01 - 2018-11-30
20.736,Xerox 221,OFF-PA-10004609,2018-11-01 - 2018-11-30
821.88,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",FUR-FU-10004665,2018-11-01 - 2018-11-30
58.408,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",OFF-BI-10001628,2018-11-01 - 2018-11-30
6.672,Acme Elite Stainless Steel Scissors,OFF-SU-10001165,2018-11-01 - 2018-11-30
13.04,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",OFF-AR-10003876,2018-11-01 - 2018-11-30
41.28,Avery Printable Repositionable Plastic Tabs,OFF-BI-10000404,2018-11-01 - 2018-11-30
219.075,BPI Conference Tables,FUR-TA-10002533,2018-11-01 - 2018-11-30
99.136,"Boston School Pro Electric Pencil Sharpener, 1670",OFF-AR-10003373,2018-11-01 - 2018-11-30
718.116,"Bush Andora Conference Table, Maple/Graphite Gray Finish",FUR-TA-10002622,2018-11-01 - 2018-11-30
18.7,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",FUR-FU-10002685,2018-11-01 - 2018-11-30
1525.188,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,OFF-BI-10003527,2018-11-01 - 2018-11-30
305.01,"File Shuttle II and Handi-File, Black",OFF-ST-10000675,2018-11-01 - 2018-11-30
48.312,GBC Imprintable Covers,OFF-BI-10000088,2018-11-01 - 2018-11-30
151.062,Hon 61000 Series Interactive Training Tables,FUR-TA-10001676,2018-11-01 - 2018-11-30
2504.74,Hoover Shoulder Vac Commercial Portable Vacuum,OFF-AP-10003849,2018-11-01 - 2018-11-30
828.7040000000001,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675,2018-11-01 - 2018-11-30
22.96,Newell 349,OFF-AR-10001177,2018-11-01 - 2018-11-30
25.06,OIC Binder Clips,OFF-FA-10000624,2018-11-01 - 2018-11-30
388.43,Office Star Flex Back Scooter Chair with White Frame,FUR-CH-10001973,2018-11-01 - 2018-11-30
31.776,Peel-Off China Markers,OFF-AR-10001915,2018-11-01 - 2018-11-30
31.968,Square Credit Card Reader,TEC-PH-10000376,2018-11-01 - 2018-11-30
16.74,Staple envelope,OFF-EN-10001415,2018-11-01 - 2018-11-30
13.36,Xerox 1898,OFF-PA-10002986,2018-11-01 - 2018-11-30
16.896,Xerox 1901,OFF-PA-10000308,2018-11-01 - 2018-11-30
569.99,Apple iPhone 5S,TEC-PH-10001363,2018-11-01 - 2018-11-30
